neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,first_review,review_scores_rating,amnt_self_checkin,amnt_instant_book,amnt_kitchen,amnt_hair_dryer,amnt_free_parking,amnt_wifi,amnt_private_bathroom,amnt_bbq_grill,amnt_washer,amnt_pets_allowed,amnt_clothes_dryer,amnt_heating,amnt_air_conditioning,amnt_workspace,amnt_iron,amnt_pool,amnt_bathtub,amnt_ev_charger,amnt_crib,amnt_king_bed,amnt_gym,amnt_breakfast,amnt_fireplace,amnt_smoking_allowed,amnt_waterfront,amnt_smoke_alarm,amnt_carbon_monoxide_alarm
Bunkyo Ku,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,100000.0,0,,,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Bunkyo Ku,Entire rental unit,Entire home/apt,8,1.0,2.0,5.0,100000.0,0,,,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Taito Ku,Entire serviced apartment,Entire home/apt,4,2.0,2.0,2.0,14550.0,24,2023-12-04,4.42,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kita Ku,Entire home,Entire home/apt,8,1.0,3.0,6.0,22012.0,15,2024-01-10,4.73,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Sumida Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,15429.0,17,2023-12-26,5.0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1
Sumida Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,11700.0,14,2023-12-26,4.93,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1
Kita Ku,Entire home,Entire home/apt,12,1.0,4.0,3.0,14000.0,47,2023-12-10,4.96,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
Koto Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,1.0,19758.0,56,2023-12-24,4.88,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,70,2023-12-10,4.67,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,55,2023-12-07,4.69,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Arakawa Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,11324.0,52,2024-01-18,4.77,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,66,2023-12-20,4.82,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,56,2023-12-10,4.66,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,41,2023-12-26,4.73,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,75,2023-12-11,4.79,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Shinjuku Ku,Entire condo,Entire home/apt,3,1.0,1.0,2.0,18372.0,13,2024-03-16,4.92,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
Taito Ku,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,14557.0,11,2024-02-19,4.64,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Taito Ku,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,10111.0,0,,,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,7010.0,1,2024-02-29,5.0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,10680.0,1,2024-04-01,5.0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Minato Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7750.0,2,2024-03-17,5.0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Taito Ku,Shared room in hostel,Shared room,1,3.0,1.0,1.0,1808.0,49,2023-12-16,4.61,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,11829.0,20,2024-01-07,4.8,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ota Ku,Entire home,Entire home/apt,10,1.0,4.0,5.0,29960.0,54,2024-01-08,4.81,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
